cleaned_comment,label,clean_text,clean_text_expanded
Bapak datang ke sekolah aku SD negeri 51pangkalpinang,0,bapak datang ke sekolah aku sd negeri 51pangkalpinang,bapak datang ke sekolah aku sd negeri 51pangkalpinang
pak makan buat provinsi Lampung manaaaa,0,pak makan buat provinsi lampung manaaaa,pak makan buat provinsi lampung manaaaa
presiden yg salah program...,0,presiden yg salah program,presiden yang salah program
"Semoga Allah berikan kekuatan, kelancaran dan kemudahan dalam pelaksanaan cita2 dan niat baik bapak Prabowo.",1,semoga allah berikan kekuatan kelancaran dan kemudahan dalam pelaksanaan cita2 dan niat baik bapak prabowo,semoga allah berikan kekuatan kelancaran dan kemudahan dalam pelaksanaan cita2 dan niat baik bapak prabowo
Semoga panjang umur,1,semoga panjang umur,semoga panjang umur
Ttima kasih pak prabowo makan gratis nya enak,1,ttima kasih pak prabowo makan gratis nya enak,ttima kasih pak prabowo makan gratis nya enak
Saya mendukung anda pak Prabowo.. Semoga Allah memudahkan Aamiin,1,saya mendukung anda pak prabowo semoga allah memudahkan aamiin,saya mendukung anda pak prabowo semoga allah memudahkan aamiin
Makan.bergizi gratis dicobakan dulu kepresiden dan jajaran kabinetnya dgn masakan dr dapur umum yg disiapkan utk siswa sekolah. Menu jg sama seharga 1015 k. Kira2 doyqn ga presiden d jajaran kabinetnya? Klo ga doyan berarti.rakyat hanya diksh makan ala kadarnya,1,makanbergizi gratis dicobakan dulu kepresiden dan jajaran kabinetnya dgn masakan dr dapur umum yg disiapkan utk siswa sekolah menu jg sama seharga 1015 k kira2 doyqn ga presiden d jajaran kabinetnya klo ga doyan berartirakyat hanya diksh makan ala kadarnya,makanbergizi gratis dicobakan dulu kepresiden dan jajaran kabinetnya dgn masakan dr dapur umum yang disiapkan untuk siswa sekolah menu jg sama seharga 1015 k kira2 doyqn tidak presiden d jajaran kabinetnya klo tidak doyan berartirakyat hanya diksh makan ala kadarnya
Program pemborosan apbn,0,program pemborosan apbn,program pemborosan apbn
Ratusan trilliun buat makan?,1,ratusan trilliun buat makan,ratusan trilliun buat makan
"Bp.Prabowo benar,beliau sangat mengerti rakyat...Dan bukankah memberi makan fakir miskin,kaum duafa adalah perintah Allah...Pahala Allah berikan untuk menghapus dosa2...bagi siapa saja yg tulus ikhlas...",1,bpprabowo benarbeliau sangat mengerti rakyatdan bukankah memberi makan fakir miskinkaum duafa adalah perintah allahpahala allah berikan untuk menghapus dosa2bagi siapa saja yg tulus ikhlas,bpprabowo benarbeliau sangat mengerti rakyatdan bukankah memberi makan fakir miskinkaum duafa adalah perintah allahpahala allah berikan untuk menghapus dosa2bagi siapa saja yang tulus ikhlas
kalau ada yang ga mau menerima silahkan tinggalkan karena yang menerima lebih banyak daripada yang menolak,1,kalau ada yang ga mau menerima silahkan tinggalkan karena yang menerima lebih banyak daripada yang menolak,kalau ada yang tidak mau menerima silahkan tinggalkan karena yang menerima lebih banyak daripada yang menolak
betul Pak yang ga mendukung suruh keluar aja Pak,1,betul pak yang ga mendukung suruh keluar aja pak,betul pak yang tidak mendukung suruh keluar aja pak
Ke tempat sya blm ada tu makan siang gratis,0,ke tempat sya blm ada tu makan siang gratis,ke tempat sya blm ada tu makan siang gratis
Sangat otoriter sekali,0,sangat otoriter sekali,sangat otoriter sekali
mending rampas aja aset para koruptor yng jumplahnya triliunya. buat anggaran makan gratis. pasti kami. puas.seneng .dan kenyang. ini baru yng namanya dari rakyat kembali ke rakyat. semangat pak prabowo.,1,mending rampas aja aset para koruptor yng jumplahnya triliunya buat anggaran makan gratis pasti kami puasseneng dan kenyang ini baru yng namanya dari rakyat kembali ke rakyat semangat pak prabowo,mending rampas aja aset para koruptor yng jumplahnya triliunya buat anggaran makan gratis pasti kami puasseneng dan kenyang ini baru yng namanya dari rakyat kembali ke rakyat semangat pak prabowo
"Enak yah sekarang, dulu gw ga pernah bisa makan siang di sekolah karna ga punya uang jajan. Tau lah gimana rasanya perut keroncongan karna lapar di sekolah.",1,enak yah sekarang dulu gw ga pernah bisa makan siang di sekolah karna ga punya uang jajan tau lah gimana rasanya perut keroncongan karna lapar di sekolah,enak yah sekarang dulu gw tidak pernah bisa makan siang di sekolah karna tidak punya uang jajan tau lah gimana rasanya perut keroncongan karna lapar di sekolah
Terima kasih Pak Prabowo semoga sehat selalu semoga rezekinya dilimpah kan sama allah terima kasih makan bergizi nya,1,terima kasih pak prabowo semoga sehat selalu semoga rezekinya dilimpah kan sama allah terima kasih makan bergizi nya,terima kasih pak prabowo semoga sehat selalu semoga rezekinya dilimpah kan sama allah terima kasih makan bergizi nya
Saya lo smakin jijik sama orang yg dikit dikit bungkus rakyt rela rakyt mati rakyt... Pertanda ngibul,0,saya lo smakin jijik sama orang yg dikit dikit bungkus rakyt rela rakyt mati rakyt pertanda ngibul,saya lo smakin jijik sama orang yang dikit dikit bungkus rakyt rela rakyt mati rakyt pertanda ngibul
"kita sangat mendukung program makan siang gratis dari bpk Presiden. 10k kl dikelola dgn baik bisa cukup. misalkan tiap hari yg masak bergantian dikordinator ibu2 nya kan kl belanja di grosir dipsr harga miring kl pun diberikan masing2 jg bisa membantu apalagi untuk di desa2 kl kita mau bangkit menuju Indonesia cerdas,sejahtera, kita smua hrs berjuang mendukung kerjasama yg baik pasti bangsa ini akan bangkit maju cerdas dimasa depan",1,kita sangat mendukung program makan siang gratis dari bpk presiden 10k kl dikelola dgn baik bisa cukup misalkan tiap hari yg masak bergantian dikordinator ibu2 nya kan kl belanja di grosir dipsr harga miring kl pun diberikan masing2 jg bisa membantu apalagi untuk di desa2 kl kita mau bangkit menuju indonesia cerdassejahtera kita smua hrs berjuang mendukung kerjasama yg baik pasti bangsa ini akan bangkit maju cerdas dimasa depan,kita sangat mendukung program makan siang gratis dari bpk presiden 10k kl dikelola dgn baik bisa cukup misalkan tiap hari yang masak bergantian dikordinator ibu2 nya kan kl belanja di grosir dipsr harga miring kl pun diberikan masing2 jg bisa membantu apalagi untuk di desa2 kl kita mau bangkit menuju indonesia cerdassejahtera kita smua hrs berjuang mendukung kerjasama yang baik pasti bangsa ini akan bangkit maju cerdas dimasa depan
"Aku sih setuju idenya Ahok, dana makan gratis di trf ke Ibu2 Rumah Tangga, anak2 lebih suka pilihan menu kesukaannya , Bekal makan siang anak, dicek oleh masing2 sekolahnya, apakah udah cukup memenuhi gizi yg disepakati sesuai draft menu ahli gizi , kalau terus melanggar ga ada gizinya, dicabut subsidinya. Ini lebih ekonomis, ga ada biaya distribusi, akomodasi , penbungkusan dan tak rawan dikorupsi.",`,aku sih setuju idenya ahok dana makan gratis di trf ke ibu2 rumah tangga anak2 lebih suka pilihan menu kesukaannya  bekal makan siang anak dicek oleh masing2 sekolahnya apakah udah cukup memenuhi gizi yg disepakati sesuai draft menu ahli gizi  kalau terus melanggar ga ada gizinya dicabut subsidinya ini lebih ekonomis ga ada biaya distribusi akomodasi  penbungkusan dan tak rawan dikorupsi,aku sih setuju idenya ahok dana makan gratis di trf ke ibu2 rumah tangga anak2 lebih suka pilihan menu kesukaannya bekal makan siang anak dicek oleh masing2 sekolahnya apakah udah cukup memenuhi gizi yang disepakati sesuai draft menu ahli gizi kalau terus melanggar tidak ada gizinya dicabut subsidinya ini lebih ekonomis tidak ada biaya distribusi akomodasi penbungkusan dan tak rawan dikorupsi
Makan siang gratis adalah strtegi. Strategia apa ya????????,0,makan siang gratis adalah strtegi strategia apa ya,makan siang gratis adalah strtegi strategia apa ya
"Ibu hamil dikasih makan bergizi dg anggaran Rp.10.000,..apa bisa ?biasanya kalau ibu hamil makannya sangat banyak...",0,ibu hamil dikasih makan bergizi dg anggaran rp10000apa bisa biasanya kalau ibu hamil makannya sangat banyak,ibu hamil dikasih makan bergizi dg anggaran rp10000apa bisa biasanya kalau ibu hamil makannya sangat banyak
"Kalo niatnya bagus. Tapi dananya kok pinjam dri china , apa ga malu ...buat makan gratis pinjam. Pdhl banyak dana dri para koruptor. Hutang hrs dibayar !!! Makan gratis secara bisnis bukan produktif. Gimana bayar hutangnya. Sama aja klo dibebani kerakyat dg cara naikan pajak.",0,kalo niatnya bagus tapi dananya kok pinjam dri china  apa ga malu buat makan gratis pinjam pdhl banyak dana dri para koruptor hutang hrs dibayar  makan gratis secara bisnis bukan produktif gimana bayar hutangnya sama aja klo dibebani kerakyat dg cara naikan pajak,kalo niatnya bagus tapi dananya kok pinjam dri china apa tidak malu buat makan gratis pinjam pdhl banyak dana dri para koruptor hutang hrs dibayar makan gratis secara bisnis bukan produktif gimana bayar hutangnya sama aja klo dibebani kerakyat dg cara naikan pajak
Sikat om,1,sikat om,sikat om
"Program yang resikonya sangat tinggi, harus memiliki perencanaan dan standar yang tinggi dalam pelaksanaanya untuk menjamin keamanan makanan. Salah sedikit kacau jadinya",0,program yang resikonya sangat tinggi harus memiliki perencanaan dan standar yang tinggi dalam pelaksanaanya untuk menjamin keamanan makanan salah sedikit kacau jadinya,program yang resikonya sangat tinggi harus memiliki perencanaan dan standar yang tinggi dalam pelaksanaanya untuk menjamin keamanan makanan salah sedikit kacau jadinya
Hancurkan para koruptor,0,hancurkan para koruptor,hancurkan para koruptor
"Mereka yang tak mendukung kalo bukan sombong sok kaya... Mereka belum pernah merasakan perut melilit, badan gemetar lemas karena kelaparan saat sekolah dulu, karena gak ada duit buat sekedar jajan gorengan...atau seplastik es sirup tuk menghilangkan dahaga... Saya pernah di masa itu... Dan saya sangat senang dan mendukung program makan siang gratis... Salut Pak Prabowo...",0,mereka yang tak mendukung kalo bukan sombong sok kaya mereka belum pernah merasakan perut melilit badan gemetar lemas karena kelaparan saat sekolah dulu karena gak ada duit buat sekedar jajan gorenganatau seplastik es sirup tuk menghilangkan dahaga saya pernah di masa itu dan saya sangat senang dan mendukung program makan siang gratis salut pak prabowo,mereka yang tak mendukung kalo bukan sombong sok kaya mereka belum pernah merasakan perut melilit badan gemetar lemas karena kelaparan saat sekolah dulu karena tidak ada duit buat sekedar jajan gorenganatau seplastik es sirup tuk menghilangkan dahaga saya pernah di masa itu dan saya sangat senang dan mendukung program makan siang gratis salut pak prabowo
Mantap Pa Prabowo gas poll,1,mantap pa prabowo gas poll,mantap Pak prabowo gas poll
Potensi korupsi bapak. Lebih baik uangnya dikasih ke ibu dan dikasih menu,0,potensi korupsi bapak lebih baik uangnya dikasih ke ibu dan dikasih menu,potensi korupsi bapak lebih baik uangnya dikasih ke ibu dan dikasih menu
"Makan bergizi dgn biaya terjangkau 1. Daging IKAN LELE kandungannya sangat baik bagi otak 2. Sayur labu bagus buat pencernaan Dah itu saja, DIJAMIN JOZZZZ Ikannya diolah jangan bentuk ikan tapi diambil dagingnya saja jadi tulang ikan gak ikut terbawa.",0,makan bergizi dgn biaya terjangkau 1 daging ikan lele kandungannya sangat baik bagi otak 2 sayur labu bagus buat pencernaan dah itu saja dijamin jozzzz ikannya diolah jangan bentuk ikan tapi diambil dagingnya saja jadi tulang ikan gak ikut terbawa,makan bergizi dgn biaya terjangkau 1 daging ikan lele kandungannya sangat baik bagi otak 2 sayur labu bagus buat pencernaan dah itu saja dijamin jozzzz ikannya diolah jangan bentuk ikan tapi diambil dagingnya saja jadi tulang ikan tidak ikut terbawa
"Semoga BPK presiden Prabowo selalu dlm keadaan sehat, panjang umur serta selalu dlm Lindungan Allah SWT agar semua program dan cita cita bpk presiden Prabowo yg begitu mulia dan tulus untuk masyarakat Indonesia bisa terwujud semua nya Aamin",1,semoga bpk presiden prabowo selalu dlm keadaan sehat panjang umur serta selalu dlm lindungan allah swt agar semua program dan cita cita bpk presiden prabowo yg begitu mulia dan tulus untuk masyarakat indonesia bisa terwujud semua nya aamin,semoga bpk presiden prabowo selalu dalam keadaan sehat panjang umur serta selalu dalam lindungan allah swt agar semua program dan cita cita bpk presiden prabowo yang begitu mulia dan tulus untuk masyarakat indonesia bisa terwujud semua nya aamin
"kalo anak sudah sehat dgn makanan bergizi,insyaAlloh kualitas SDM meningkat krn asupan makanan yg baik utk perkembangan otak anak,, disamping metode pmbljrn, kurikulum pnddkan yg baikcocok dan tnaga pendidik yg baik pula..",0,kalo anak sudah sehat dgn makanan bergiziinsyaalloh kualitas sdm meningkat krn asupan makanan yg baik utk perkembangan otak anak disamping metode pmbljrn kurikulum pnddkan yg baikcocok dan tnaga pendidik yg baik pula,kalo anak sudah sehat dgn makanan bergiziinsyaalloh kualitas sdm meningkat karena asupan makanan yang baik untuk perkembangan otak anak disamping metode pmbljrn kurikulum pnddkan yang baikcocok dan tnaga pendidik yang baik pula
Kelas banget deh my President gue...,0,kelas banget deh my president gue,kelas banget deh my president gue
Kalian jangan selalu nyinyir ma program pemerintah kalian sendiri belum tentu lebih baik,0,kalian jangan selalu nyinyir ma program pemerintah kalian sendiri belum tentu lebih baik,kalian jangan selalu nyinyir ma program pemerintah kalian sendiri belum tentu lebih baik
Yakin klo kita ngasih makan mahluk allah .allah pun akan menolongkita lanjutkan,0,yakin klo kita ngasih makan mahluk allah allah pun akan menolongkita lanjutkan,yakin klo kita ngasih makan mahluk allah allah pun akan menolongkita lanjutkan
tegas dan bijaksana..sama dengan pak harto dan pak sukarno,0,tegas dan bijaksanasama dengan pak harto dan pak sukarno,tegas dan bijaksanasama dengan pak harto dan pak sukarno
Strategis untuk korupsi pa.. mantap di sunat sedikit sedikit..saya jamin itu pasti di korupsi,0,strategis untuk korupsi pa mantap di sunat sedikit sedikitsaya jamin itu pasti di korupsi,strategis untuk korupsi Pak mantap di sunat sedikit sedikitsaya jamin itu pasti di korupsi
ratakan,0,ratakan,ratakan
"Program mkan gratis dikejar tpi bgmna dngan pengangguran yang membludak, ambil sample 1 RT anak2 mudanya hmpir smua nganggur pabrik2 pd tutup, ngg krja ngg punya duit bingung mo makan... Yg utama bnyakin pbrik2 biar pd kerja bsa cari makan",0,program mkan gratis dikejar tpi bgmna dngan pengangguran yang membludak ambil sample 1 rt anak2 mudanya hmpir smua nganggur pabrik2 pd tutup ngg krja ngg punya duit bingung mo makan yg utama bnyakin pbrik2 biar pd kerja bsa cari makan,program mkan gratis dikejar tpi bgmna dngan pengangguran yang membludak ambil sample 1 rt anak2 mudanya hmpir smua nganggur pabrik2 pd tutup ngg krja ngg punya duit bingung mo makan yang utama bnyakin pbrik2 biar pd kerja bsa cari makan
"Mantaap bp tegas ,moga indonesia lebih maju dn sejahtera dipimpin oleh bp.",1,mantaap bp tegas moga indonesia lebih maju dn sejahtera dipimpin oleh bp,mantaap bp tegas moga indonesia lebih maju dn sejahtera dipimpin oleh bp
Saya sangat mendukung Bpk prabowo Ri ke8 semoga panjang umur sehat selalu semoga Alloh mengabul kan demi sejahtera nkri,1,saya sangat mendukung bpk prabowo ri ke8 semoga panjang umur sehat selalu semoga alloh mengabul kan demi sejahtera nkri,saya sangat mendukung bpk prabowo ri ke8 semoga panjang umur sehat selalu semoga alloh mengabul kan demi sejahtera nkri
Bagi rakyat ksejahteraan dan pembasmian koruptor dan politik nepotisme adalah yg paling utama . Dengan kesejahteraan yg rakyat dapatkan masyarakat bisa memberi makanan bergizi buat keluarganya.,0,bagi rakyat ksejahteraan dan pembasmian koruptor dan politik nepotisme adalah yg paling utama  dengan kesejahteraan yg rakyat dapatkan masyarakat bisa memberi makanan bergizi buat keluarganya,bagi rakyat ksejahteraan dan pembasmian koruptor dan politik nepotisme adalah yang paling utama dengan kesejahteraan yang rakyat dapatkan masyarakat bisa memberi makanan bergizi buat keluarganya
kita bukan tidak mndukung programnya yg kita butuhkan itu merata serta kesehatan untuk seluruh rakyat indonesia n skolah kita murah ingga anak'' kita semangat smpai s1 s2 s3,0,kita bukan tidak mndukung programnya yg kita butuhkan itu merata serta kesehatan untuk seluruh rakyat indonesia n skolah kita murah ingga anak kita semangat smpai s1 s2 s3,kita bukan tidak mndukung programnya yang kita butuhkan itu merata serta kesehatan untuk seluruh rakyat indonesia n skolah kita murah ingga anak kita semangat smpai s1 s2 s3
Alhamdulillah.....amin...amin....amin...,1,alhamdulillahaminaminamin,alhamdulillahaminaminamin
Aamiiin semoga bapak presiden RI sehat selalu,1,aamiiin semoga bapak presiden ri sehat selalu,aamiiin semoga bapak presiden ri sehat selalu
"Keren, kalau ngalangin kebangkitan bangsa pecat aja. Masih banyak orang yang pengen negara ini bangkit dan maju",1,keren kalau ngalangin kebangkitan bangsa pecat aja masih banyak orang yang pengen negara ini bangkit dan maju,keren kalau ngalangin kebangkitan bangsa pecat aja masih banyak orang yang pengen negara ini bangkit dan maju
Kencang pak......gas pol.,1,kencang pakgas pol,kencang pakgas pol
Semoga bapak presiden prabowo selalu menjadi pemimpin yang sangat bijak dan selalu di jalan Alloh SE moga jadi presiden yang dapat membawa bangsa ke depan lebih baik,1,semoga bapak presiden prabowo selalu menjadi pemimpin yang sangat bijak dan selalu di jalan alloh se moga jadi presiden yang dapat membawa bangsa ke depan lebih baik,semoga bapak presiden prabowo selalu menjadi pemimpin yang sangat bijak dan selalu di jalan alloh se moga jadi presiden yang dapat membawa bangsa ke depan lebih baik
Hati hati di koropsi pa. Selama ini sampai nya cuma pisang rebus.,0,hati hati di koropsi pa selama ini sampai nya cuma pisang rebus,hati hati di koropsi Pak selama ini sampai nya cuma pisang rebus
Mantap bapak presiden RI,1,mantap bapak presiden ri,mantap bapak presiden ri
Mantab dan tegas.,1,mantab dan tegas,mantab dan tegas
Mantap pak Prabowo,1,mantap pak prabowo,mantap pak prabowo
Mantap pak Prabowo lebih baik makan bergizi untuk anak anak dan ibu hamil daripada mikirin IKN,1,mantap pak prabowo lebih baik makan bergizi untuk anak anak dan ibu hamil daripada mikirin ikn,mantap pak prabowo lebih baik makan bergizi untuk anak anak dan ibu hamil daripada mikirin ikn
Makasih pak .mereka yg tidak mendukung gak mikirin rakyat nya .,1,makasih pak mereka yg tidak mendukung gak mikirin rakyat nya,makasih pak mereka yang tidak mendukung tidak mikirin rakyat nya
Mantap lanjutkan presiden Prabowo sesuai janji makan bergisi dan gratis adalah program utama.,1,mantap lanjutkan presiden prabowo sesuai janji makan bergisi dan gratis adalah program utama,mantap lanjutkan presiden prabowo sesuai janji makan bergisi dan gratis adalah program utama
Potensi korupsi d yg dpt order cuma org2 pendukung at kroni2nya saja,1,potensi korupsi d yg dpt order cuma org2 pendukung at kroni2nya saja,potensi korupsi d yang dpt order cuma org2 pendukung at kroni2nya saja
Aamiin,0,aamiin,aamiin
saya yakin berhasil bpk presiden semoga alloh menjabai niat baik bapak semoga sehat slalu pak prabowo,1,saya yakin berhasil bpk presiden semoga alloh menjabai niat baik bapak semoga sehat slalu pak prabowo,saya yakin berhasil bpk presiden semoga alloh menjabai niat baik bapak semoga sehat slalu pak prabowo
Mantap pak Prabowo komitmen dengan rencana yang pernah diutarakan waktu nyapres,1,mantap pak prabowo komitmen dengan rencana yang pernah diutarakan waktu nyapres,mantap pak prabowo komitmen dengan rencana yang pernah diutarakan waktu nyapres
"Pak itu bagaimana utk anak bangsa yg baru lulus SMA, SMK, STM . Apa mereka harus nganggur, pak",0,pak itu bagaimana utk anak bangsa yg baru lulus sma smk stm  apa mereka harus nganggur pak,pak itu bagaimana untuk anak bangsa yang baru lulus sma smk stm apa mereka harus nganggur pak
Seharusnya anggaran bukan di kurangi..dampaknya ke masyarakar perekonomian jadi tambah susah.,1,seharusnya anggaran bukan di kurangidampaknya ke masyarakar perekonomian jadi tambah susah,seharusnya anggaran bukan di kurangidampaknya ke masyarakar perekonomian jadi tambah susah
Sejauh ini masih mending bapak jokowo,1,sejauh ini masih mending bapak jokowo,sejauh ini masih mending bapak jokowo
percuma toh d daerahku gk ada makan geratis.mending pendidikan geeatis agar anak bangsa tdk putus sekolah bukti sekolah sampai sekarang mahal.byk biaya tetek bengek.,0,percuma toh d daerahku gk ada makan geratismending pendidikan geeatis agar anak bangsa tdk putus sekolah bukti sekolah sampai sekarang mahalbyk biaya tetek bengek,percuma toh d daerahku gk ada makan geratismending pendidikan geeatis agar anak bangsa tdk putus sekolah bukti sekolah sampai sekarang mahalbyk biaya tetek bengek
Apa dikira siswa terus pinter dgn MBG? Bapak2nya jd korban PHK,0,apa dikira siswa terus pinter dgn mbg bapak2nya jd korban phk,apa dikira siswa terus pinter dgn mbg bapak2nya jd korban phk
program bagus pak.tapi ada program yg lebih bagus dan mulia lagi.bentuk.kesejahteraan kehidupan layak kenaikan gapok 50 gaji pensiunan.pns.tni.polri amin...,0,program bagus paktapi ada program yg lebih bagus dan mulia lagibentukkesejahteraan kehidupan layak kenaikan gapok 50 gaji pensiunanpnstnipolri amin,program bagus paktapi ada program yang lebih bagus dan mulia lagibentukkesejahteraan kehidupan layak kenaikan gapok 50 gaji pensiunanpnstnipolri amin
"SAYA SETUJU DENGAN BAPAK AGUS PAMBAGIO,, SANGAT BENAR YANG DIKATAKAN INI. PERCUMA SAJA ADA PEMANGKASAN ANGGARAN DI NEGARA INDONESIA INI",0,saya setuju dengan bapak agus pambagio sangat benar yang dikatakan ini percuma saja ada pemangkasan anggaran di negara indonesia ini,saya setuju dengan bapak agus pambagio sangat benar yang dikatakan ini percuma saja ada pemangkasan anggaran di negara indonesia ini
"Demi makan siang gratis , PHK dimana2.. hadeuhh.. lebih penting makan siang gratis daripada ngurusin orang yang banyak di PHK..",0,demi makan siang gratis  phk dimana2 hadeuhh lebih penting makan siang gratis daripada ngurusin orang yang banyak di phk,demi makan siang gratis phk dimana2 hadeuhh lebih penting makan siang gratis daripada ngurusin orang yang banyak di phk
Program bodoh pak...bagaimana kalau perusahaan di perbanyak menghindari pengangguran,0,program bodoh pakbagaimana kalau perusahaan di perbanyak menghindari pengangguran,program bodoh pakbagaimana kalau perusahaan di perbanyak menghindari pengangguran
Yg kena dampaknya rakyatrakyat kecil,0,yg kena dampaknya rakyatrakyat kecil,yang kena dampaknya rakyatrakyat kecil
"Rakyat indonesia gak semiskin itu sampe harus di kasi makan gratis ....ini karna blunder kampanye makan gratis demi memenangkan pemilu....sekarang mau cabut malu...menutupi malu dengan cara yang kurang perhitungan sehingga amburadul tidak sesuai kenytaan di lapangn di mana di lapangan porsi 10 rb per anak , sedangkan porsi gizi minimal 15 20 rb , jadi percuma .....lebih baik alokasikan subsidi pendidikan dan lapangan pekerjaan , kesehatan dan sumber daya energi",0,rakyat indonesia gak semiskin itu sampe harus di kasi makan gratis ini karna blunder kampanye makan gratis demi memenangkan pemilusekarang mau cabut malumenutupi malu dengan cara yang kurang perhitungan sehingga amburadul tidak sesuai kenytaan di lapangn di mana di lapangan porsi 10 rb per anak  sedangkan porsi gizi minimal 15 20 rb  jadi percuma lebih baik alokasikan subsidi pendidikan dan lapangan pekerjaan  kesehatan dan sumber daya energi,rakyat indonesia tidak semiskin itu sampe harus di kasi makan gratis ini karna blunder kampanye makan gratis demi memenangkan pemilusekarang mau cabut malumenutupi malu dengan cara yang kurang perhitungan sehingga amburadul tidak sesuai kenytaan di lapangn di mana di lapangan porsi 10 rb per anak sedangkan porsi gizi minimal 15 20 rb jadi percuma lebih baik alokasikan subsidi pendidikan dan lapangan pekerjaan kesehatan dan sumber daya energi
Hukum mati ja yg korupsi,0,hukum mati ja yg korupsi,hukum mati ja yang korupsi
Dan akhirnya salah pilihkn....,0,dan akhirnya salah pilihkn,dan akhirnya salah pilihkn
Pengaguran semakin meningkat terkait penghematan apbn,0,pengaguran semakin meningkat terkait penghematan apbn,pengaguran semakin meningkat terkait penghematan apbn
kalian kerja bagus... nih udah bisa saya suruh suruh,0,kalian kerja bagus nih udah bisa saya suruh suruh,kalian kerja bagus nih udah bisa saya suruh suruh
"makanan bergizi apa iya, kalau mau tau efektif atau tidak cek status gizi after before program makan siang, apakah efektif atau cuma buat proyek",0,makanan bergizi apa iya kalau mau tau efektif atau tidak cek status gizi after before program makan siang apakah efektif atau cuma buat proyek,makanan bergizi apa iya kalau mau tau efektif atau tidak cek status gizi after before program makan siang apakah efektif atau cuma buat proyek
Gegara asbun makan gratis di kampanye...rusak negara sejagad...terimalah karmamu wahai manusia yang menipu rakyat....,0,gegara asbun makan gratis di kampanyerusak negara sejagadterimalah karmamu wahai manusia yang menipu rakyat,gegara asbun makan gratis di kampanyerusak negara sejagadterimalah karmamu wahai manusia yang menipu rakyat
Makan gratis bergizi itu sepeti apa ? Kan hny mkn siang nya saja. Sarapsn pagi nya mknan apa.? Makan mlm nya mkn apa.? Kan tdk Seragam. Lebih baik dana mkn Gratis di alihkan utk membayar htng luar Negeri. Kalau kita sdh bebas hutang kan ENAK Loh. Yg gratis bergizi yg dibikin dendiri Makannya hny di kunyah dilumat kan pakai gigi. Sungguh sangat ber beda loh. Tolong dipikirkan.,0,makan gratis bergizi itu sepeti apa  kan hny mkn siang nya saja sarapsn pagi nya mknan apa makan mlm nya mkn apa kan tdk seragam lebih baik dana mkn gratis di alihkan utk membayar htng luar negeri kalau kita sdh bebas hutang kan enak loh yg gratis bergizi yg dibikin dendiri makannya hny di kunyah dilumat kan pakai gigi sungguh sangat ber beda loh tolong dipikirkan,makan gratis bergizi itu sepeti apa kan hny mkn siang nya saja sarapsn pagi nya mknan apa makan mlm nya mkn apa kan tdk seragam lebih baik dana mkn gratis di alihkan untuk membayar htng luar negeri kalau kita sudah bebas hutang kan enak loh yang gratis bergizi yang dibikin dendiri makannya hny di kunyah dilumat kan pakai gigi sungguh sangat ber beda loh tolong dipikirkan
Apa tidak ada imbas untuk rakyat kecil... kasihan,0,apa tidak ada imbas untuk rakyat kecil kasihan,apa tidak ada imbas untuk rakyat kecil kasihan
"MBG kasih ke orang tuanya saja pak khawatir banyak korupsi, apalagi sampai saat ini anak saya belum pernah dapat makan bergizi gratis daerah bogor dan Tangerang Selatan",0,mbg kasih ke orang tuanya saja pak khawatir banyak korupsi apalagi sampai saat ini anak saya belum pernah dapat makan bergizi gratis daerah bogor dan tangerang selatan,mbg kasih ke orang tuanya saja pak khawatir banyak korupsi apalagi sampai saat ini anak saya belum pernah dapat makan bergizi gratis daerah bogor dan tangerang selatan
Yang menghabiskan anggaran perjalanan dinas juga yg pejabat tinggi pak,0,yang menghabiskan anggaran perjalanan dinas juga yg pejabat tinggi pak,yang menghabiskan anggaran perjalanan dinas juga yang pejabat tinggi pak
Kalau pns pajabat iyalah kalau kayak kami honor udah pelatihan pake uang sendiri... Gaji bekerja gak di bayar di mana letak perikemanusiaan nya dari negara?,0,kalau pns pajabat iyalah kalau kayak kami honor udah pelatihan pake uang sendiri gaji bekerja gak di bayar di mana letak perikemanusiaan nya dari negara,kalau pns pajabat iyalah kalau kayak kami honor udah pelatihan pake uang sendiri gaji bekerja tidak di bayar di mana letak perikemanusiaan nya dari negara
Harusnya tunjangan DPR yg dipangkas,0,harusnya tunjangan dpr yg dipangkas,harusnya tunjangan dpr yang dipangkas
